%año         Mes      Dia      Hora     Cont    T1mx     T1mn  
 2011.00     9.00    26.00     7.00   191.00    31.26    23.23
 2011.00     9.00    27.00     7.00   192.00    31.33    21.73
 2011.00     9.00    28.00     7.00   193.00    30.23    22.95
 2011.00     9.00    29.00     7.00   194.00    31.05    22.99
 2011.00     9.00    30.00     7.00   195.00    31.43    23.02
 2011.00    10.00     1.00     7.00   196.00    31.43    22.48
 2011.00    10.00     2.00     7.00   197.00    31.19    22.55
 2011.00    10.00     3.00     7.00   198.00    32.59    23.12
 2011.00    10.00     4.00     7.00   199.00    30.54    22.78
 2011.00    10.00     5.00     7.00   200.00    29.31    21.79
 2011.00    10.00     6.00     7.00   201.00    30.92    22.20
 2011.00    10.00     7.00     7.00   202.00    29.41    22.34
 2011.00    10.00     8.00     7.00   203.00    31.67    23.53
 2011.00    10.00     9.00     7.00   204.00    31.63    22.13
 2011.00    10.00    10.00     7.00   205.00    32.32    22.71
 2011.00    10.00    11.00     7.00   206.00    30.71    21.15
 2011.00    10.00    12.00     7.00   207.00    30.54    21.49
 2011.00    10.00    13.00     7.00   208.00    30.71    21.38
 2011.00    10.00    14.00     7.00   209.00    30.20    21.76
 2011.00    10.00    15.00     7.00   210.00    30.16    21.21
 2011.00    10.00    16.00     7.00   211.00    30.23    19.99
 2011.00    10.00    17.00     7.00   212.00    28.52    20.60
 2011.00    10.00    18.00     7.00   213.00    28.90    21.93
 2011.00    10.00    19.00     7.00   214.00    30.30    21.66
 2011.00    10.00    20.00     7.00   215.00    29.55    22.10
 2011.00    10.00    21.00     7.00   216.00    27.19    21.11
 2011.00    10.00    22.00     7.00   217.00    26.40    21.42
 2011.00    10.00    23.00     7.00   218.00    29.31    19.95
 2011.00    10.00    24.00     7.00   219.00    29.28    21.21
 2011.00    10.00    25.00     7.00   220.00    29.82    21.08
 2011.00    10.00    26.00     7.00   221.00    30.64    21.38
 2011.00    10.00    27.00     7.00   222.00    29.99    20.39
 2011.00    10.00    28.00     7.00   223.00    30.98    21.93
 2011.00    10.00    29.00     7.00   224.00    30.40    22.51
 2011.00    10.00    30.00     7.00   225.00    26.06    21.52
 2011.00    10.00    31.00     7.00   226.00    28.05    20.83
 2011.00    11.00     1.00     7.00   227.00    29.24    20.97
 2011.00    11.00     2.00     7.00   228.00    29.28    21.45
 2011.00    11.00     3.00     7.00   229.00    29.79    21.76
 2011.00    11.00     4.00     7.00   230.00    30.10    21.25
 2011.00    11.00     5.00     7.00   231.00    29.10    20.98
 2011.00    11.00     6.00     7.00   232.00    30.75    22.88
 2011.00    11.00     7.00     7.00   233.00    31.39    20.60
 2011.00    11.00     8.00     7.00   234.00    31.19    20.25
 2011.00    11.00     9.00     7.00   235.00    30.88    21.39
 2011.00    11.00    10.00     7.00   236.00    30.64    20.36
 2011.00    11.00    11.00     7.00   237.00    27.33    21.28
 2011.00    11.00    12.00     7.00   238.00    31.74    21.42
 2011.00    11.00    13.00     7.00   239.00    25.82    21.11
 2011.00    11.00    14.00     7.00   240.00    28.18    20.60
 2011.00    11.00    15.00     7.00   241.00    26.13    20.63
 2011.00    11.00    16.00     7.00   242.00    30.27    23.43
 2011.00    11.00    17.00     7.00   243.00    31.22    21.72
 2011.00    11.00    18.00     7.00   244.00    30.75    21.22
 2011.00    11.00    19.00     7.00   245.00    30.61    20.57
 2011.00    11.00    20.00     7.00   246.00    30.85    21.22
 2011.00    11.00    21.00     7.00   247.00    29.24    21.90
 2011.00    11.00    22.00     7.00   248.00    25.04    20.94
 2011.00    11.00    23.00     7.00   249.00    29.04    20.90
 2011.00    11.00    24.00     7.00   250.00    27.94    21.93
 2011.00    11.00    25.00     7.00   251.00    24.39    22.51
 2011.00    11.00    26.00     7.00   252.00    26.44    22.06
 2011.00    11.00    27.00     7.00   253.00    27.77    22.85
 2011.00    11.00    28.00     7.00   254.00    30.85    23.02
 2011.00    11.00    29.00     7.00   255.00    29.58    18.86
 2011.00    11.00    30.00     7.00   256.00    23.47    19.99
 2011.00    12.00     1.00     7.00   257.00    25.69    20.16
 2011.00    12.00     2.00     7.00   258.00    22.95    19.75
 2011.00    12.00     3.00     7.00   259.00    25.17    20.16
 2011.00    12.00     4.00     7.00   260.00    28.18    20.43
 2011.00    12.00     5.00     7.00   261.00    29.65    21.55
 2011.00    12.00     6.00     7.00   262.00    29.48    20.67
 2011.00    12.00     7.00     7.00   263.00    29.69    21.05
